period,gdp_deflator
2008-09,83.44999999999999
2009-10,84.6
2010-11,86.175
2011-12,87.67500000000001
2012-13,89.3
2013-14,91.025
2014-15,92.125
2015-16,92.8
2016-17,94.9
2017-18,96.375
2018-19,98.4
2019-20,100.725
2020-21,106.19999999999999
2021-22,105.35
2022-23,112.44999999999999
2023-24,119.44999999999999
2024-25,122.28653862893901
2025-26,125.20425608552085
2026-27,127.67188183636851
2027-28,130.1712556210047
2028-29,132.73663030340674
2029-30,135.3547279910913
